,Origin,Dest,Origin_lat,Origin_long,Dest_lat,Dest_long,Distance
256,ATL,MTH,33.636719,-84.428067,24.726111,-81.051389,1043.75876325
257,ATL,MTJ,33.636719,-84.428067,38.509794,-107.894242,2171.59575321
258,ATL,MYR,33.636719,-84.428067,33.67975,-78.928333,509.144703603
259,ATL,OAJ,33.636719,-84.428067,34.829164,-77.612139,640.532047431
260,ATL,OAK,33.636719,-84.428067,37.721278,-122.220722,3421.43335999
261,ATL,OGG,33.636719,-84.428067,20.89865,-156.430458,7121.94496588
262,ATL,OKC,33.636719,-84.428067,35.393089,-97.600733,1222.03408987
263,ATL,OMA,33.636719,-84.428067,41.303167,-95.894069,1321.45877523
264,ATL,ONT,33.636719,-84.428067,34.056,-117.601194,3051.30604944
265,ATL,ORD,33.636719,-84.428067,41.978603,-87.904842,976.634694801
266,ATL,ORF,33.636719,-84.428067,36.894611,-76.201222,829.962529959
267,ATL,PBI,33.636719,-84.428067,26.683161,-80.095589,878.278439398
268,ATL,PDX,33.636719,-84.428067,45.588722,-122.5975,3490.2199638
269,ATL,PFN,33.636719,-84.428067,30.212083,-85.682806,398.903091942
270,ATL,PHF,33.636719,-84.428067,37.131894,-76.492989,817.473423633
271,ATL,PHL,33.636719,-84.428067,39.871944,-75.241139,1071.92579087
272,ATL,PHX,33.636719,-84.428067,33.434278,-112.011583,2549.84624159
273,ATL,PIA,33.636719,-84.428067,40.664203,-89.693258,909.997206964
274,ATL,PIT,33.636719,-84.428067,40.491467,-80.232872,848.23915376
275,ATL,PNS,33.636719,-84.428067,30.473425,-87.186611,437.477289985
276,ATL,PSE,33.636719,-84.428067,18.008306,-66.563028,2486.44571527
277,ATL,PSP,33.636719,-84.428067,33.829667,-116.506694,2955.22223917
278,ATL,PVD,33.636719,-84.428067,41.732581,-71.420383,1453.87488216
279,ATL,PWM,33.636719,-84.428067,43.646161,-70.309281,1652.26001653
280,ATL,RDU,33.636719,-84.428067,35.877639,-78.787472,572.428146214
281,ATL,RIC,33.636719,-84.428067,37.505167,-77.319667,773.419638394
282,ATL,RNO,33.636719,-84.428067,39.499108,-119.768108,3202.31011379
283,ATL,ROA,33.636719,-84.428067,37.325472,-79.975417,575.17554025
284,ATL,ROC,33.636719,-84.428067,43.118866,-77.672389,1207.04348769
285,ATL,RSW,33.636719,-84.428067,26.536167,-81.755167,830.528646904
286,ATL,SAN,33.636719,-84.428067,32.733556,-117.189667,3038.60981371
287,ATL,SAT,33.636719,-84.428067,29.533694,-98.469778,1405.14102349
288,ATL,SAV,33.636719,-84.428067,32.127583,-81.202139,344.905413585
289,ATL,SBN,33.636719,-84.428067,41.708661,-86.31725,913.045983081
