,Origin,Dest,Distance
636,BPT,IAH,127.320461479
637,BQK,ATL,383.673043488
638,BQN,EWR,2558.91592274
639,BQN,JFK,2543.76533401
640,BQN,MCO,1817.78419434
641,BRO,IAH,497.617809823
642,BRW,ANC,1163.15505427
643,BRW,FAI,807.532369915
644,BRW,SCC,327.498474722
645,BTM,SLC,576.190123848
646,BTR,ATL,721.164577527
647,BTR,CVG,1116.2649596
648,BTR,DCA,1584.92403219
649,BTR,DFW,615.935486026
650,BTR,IAH,407.303507299
651,BTR,MEM,513.402315501
652,BTR,MSY,104.603608359
653,BTR,ORD,1305.63200446
654,BTV,ATL,1546.36782954
655,BTV,CLE,785.120467666
656,BTV,CVG,1128.22954627
657,BTV,DTW,861.870722303
658,BTV,EWR,428.513708487
659,BTV,JFK,429.312312247
660,BTV,MCO,1925.35765264
661,BTV,MSP,1583.90022117
662,BTV,ORD,1225.49962063
663,BTV,PHL,539.769193782
664,BUF,ATL,1147.42339215
665,BUF,BOS,635.133821208
666,BUF,BWI,453.121012766
667,BUF,CLE,308.123002155
668,BUF,CLT,880.274750079
669,BUF,CVG,659.76468268
670,BUF,DCA,476.520246675
671,BUF,DTW,387.021587469
672,BUF,EWR,453.367004011
673,BUF,FLL,1880.65214235
674,BUF,GSP,944.106632554
675,BUF,IAD,457.210501481
676,BUF,JFK,483.849580446
677,BUF,LAS,3190.48418528
678,BUF,MCO,1630.54522466
679,BUF,MDW,751.996132729
680,BUF,MSP,1179.3122539
681,BUF,ORD,759.884456768
682,BUF,PBI,1812.51480152
683,BUF,PHL,448.600502692
684,BUF,PHX,3071.64654296
685,BUF,TPA,1699.30550767
686,BUF,TYS,912.52731421
687,BUR,CDC,612.907558668
688,BUR,COS,1322.47167884
689,BUR,DEN,1366.534471
690,BUR,DFW,1978.15080864
691,BUR,JFK,3959.62645817
692,BUR,LAS,358.791920234
693,BUR,LAX,29.0705052371
694,BUR,OAK,523.577805073
695,BUR,PDX,1316.81336078
696,BUR,PHX,592.602899058
697,BUR,SEA,1510.12464175
698,BUR,SFO,524.748128925
699,BUR,SJC,476.87507302
700,BUR,SLC,923.547825789
701,BUR,SMF,577.458185295
702,BWI,ABE,194.795658451
703,BWI,ABQ,2682.89901509
704,BWI,ALB,464.594098639
705,BWI,ATL,927.813059228
706,BWI,AUS,2157.707935
707,BWI,AVP,253.616227485
708,BWI,BDL,455.86501127
709,BWI,BHM,1096.8819061
710,BWI,BNA,943.938325059
711,BWI,BOS,594.250232558
712,BWI,BUF,453.121012766
713,BWI,CLE,504.959697942
714,BWI,CLT,580.887554779
715,BWI,CMH,541.157532727
716,BWI,CVG,690.313139256
717,BWI,DAB,1182.47123305
718,BWI,DAY,652.552326391
719,BWI,DCA,48.0848312722
720,BWI,DEN,2394.31137345
721,BWI,DFW,1955.37633169
722,BWI,DTW,656.945330551
723,BWI,EWR,271.878331004
724,BWI,FLL,1493.17670639
725,BWI,GRR,848.996296046
726,BWI,HOU,2003.94204685
727,BWI,IAH,1986.40928229
728,BWI,IND,828.61216021
729,BWI,ISP,353.420632286
730,BWI,JAN,1428.73435675
731,BWI,JAX,1068.36540825
732,BWI,JFK,295.453915883
733,BWI,LAS,3382.20181138
734,BWI,LAX,3741.08989194
735,BWI,LGA,297.51793682
736,BWI,LIT,1466.16907751
737,BWI,MCI,1552.13885027
738,BWI,MCO,1269.39136194
739,BWI,MDW,980.852054111
740,BWI,MEM,1265.30975643
741,BWI,MHT,605.80710258
742,BWI,MIA,1526.41074522
743,BWI,MKE,1029.81771375
744,BWI,MSN,1147.462124
745,BWI,MSP,1504.09507442
746,BWI,MSY,1606.66552026
747,BWI,OAK,3929.28077246
748,BWI,OKC,1895.04829959
749,BWI,ORD,998.285977598
750,BWI,ORF,256.965697785
751,BWI,PBI,1425.54460454
752,BWI,PHL,144.902239535
753,BWI,PHX,3210.70637497
754,BWI,PIT,337.791631902
755,BWI,PVD,527.290130761
756,BWI,PWM,726.703465903
757,BWI,RDU,411.658670117
758,BWI,ROC,446.614232988
759,BWI,RSW,1483.31666494
760,BWI,SAN,3686.73614093
761,BWI,SAT,2262.6689004
762,BWI,SDF,794.949231613
763,BWI,SEA,3749.33612889
764,BWI,SFO,3945.58010353
765,BWI,SJU,2525.29868843
766,BWI,SLC,2994.41163491
767,BWI,SRQ,1419.10544283
768,BWI,STL,1184.85739677
769,BWI,TPA,1358.3306881
770,BZN,ATL,2637.59664037
771,BZN,DEN,843.852352705
772,BZN,DTW,2248.29312269
773,BZN,GJT,771.044542641
774,BZN,MSN,1751.4995987
775,BZN,MSP,1403.30696831
776,BZN,ORD,1904.50527264
777,BZN,PIH,338.805583082
778,BZN,SFO,1298.01127116
779,BZN,SLC,558.879893252
780,BZN,TWF,452.642983365
781,CAE,ATL,307.679416802
782,CAE,CVG,650.803671392
783,CAE,DFW,1480.93169474
784,CAE,DTW,940.727515366
785,CAE,EWR,970.066281743
786,CAE,IAD,645.977414759
787,CAE,IAH,1410.85646668
788,CAE,LGA,993.750400273
789,CAE,MEM,820.941456258
790,CAE,ORD,1073.31826174
791,CAE,RDU,302.892598934
792,CAK,ATL,851.565148635
793,CAK,BOS,881.813510804
794,CAK,CMH,159.627968145
795,CAK,CVG,344.50941871
796,CAK,DEN,1965.82754808
797,CAK,DTW,214.676863844
798,CAK,FLL,1655.31063004
799,CAK,LAS,2964.45935989
800,CAK,LGA,636.902600657
801,CAK,MCO,1388.94529949
802,CAK,ORD,551.477722805
803,CAK,RSW,1599.73449377
804,CAK,TPA,1442.8213503
805,CDV,ANC,256.393014478
806,CDV,YAK,364.163490364
807,CEC,ACV,89.8573947395
808,CEC,RDD,215.619849052
809,CEC,SFO,489.482687975
810,CEC,SMF,410.090787395
811,CHA,ATL,171.100193603
812,CHA,BNA,180.182357702
813,CHA,CVG,448.953631614
814,CHA,DFW,1116.58225729
815,CHA,IAH,1103.57224236
816,CHA,MEM,434.62769016
817,CHA,ORD,807.172167194
818,CHO,ATL,734.988283688
819,CHO,CVG,549.589415853
820,CHS,ATL,416.186951235
821,CHS,BOS,1318.14388674
822,CHS,CLT,270.63119377
823,CHS,CVG,800.630688921
824,CHS,DFW,1585.71999866
825,CHS,DTW,1076.1245097
826,CHS,EWR,1011.85591512
