STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WDMV
GHCND:USC00112223,DE KALB IL US,20070706,-9999,-9999,0,0,0,300,183,194,43
GHCND:USC00112223,DE KALB IL US,20070707,-9999,-9999,0,0,0,289,178,194,29
GHCND:USC00112223,DE KALB IL US,20070708,-9999,-9999,0,0,0,311,194,222,84
GHCND:USC00112223,DE KALB IL US,20070709,-9999,-9999,0,0,0,328,200,217,111
GHCND:USC00112223,DE KALB IL US,20070710,-9999,-9999,843,0,0,328,189,206,64
GHCND:USC00112223,DE KALB IL US,20070711,-9999,-9999,229,0,0,311,139,150,82
GHCND:USC00112223,DE KALB IL US,20070712,-9999,-9999,0,0,0,244,133,150,74
GHCND:USC00112223,DE KALB IL US,20070713,-9999,-9999,0,0,0,256,128,144,55
GHCND:USC00112223,DE KALB IL US,20070714,-9999,-9999,0,0,0,272,144,161,105
GHCND:USC00112223,DE KALB IL US,20070715,-9999,-9999,0,0,0,283,144,150,32
GHCND:USC00112223,DE KALB IL US,20070716,-9999,-9999,0,0,0,267,150,178,39
GHCND:USC00112223,DE KALB IL US,20070717,-9999,-9999,163,0,0,267,178,189,35
GHCND:USC00112223,DE KALB IL US,20070718,-9999,-9999,178,0,0,272,189,200,55
GHCND:USC00112223,DE KALB IL US,20070719,-9999,-9999,305,0,0,294,200,206,76
GHCND:USC00112223,DE KALB IL US,20070720,-9999,-9999,13,0,0,278,128,133,87
GHCND:USC00112223,DE KALB IL US,20070721,-9999,-9999,0,0,0,239,133,133,51
GHCND:USC00112223,DE KALB IL US,20070722,-9999,-9999,0,0,0,239,133,167,53
GHCND:USC00112223,DE KALB IL US,20070723,-9999,-9999,0,0,0,256,144,167,32
GHCND:USC00112223,DE KALB IL US,20070724,-9999,-9999,0,0,0,267,167,183,32
GHCND:USC00112223,DE KALB IL US,20070725,-9999,-9999,0,0,0,278,183,194,31
GHCND:USC00112223,DE KALB IL US,20070726,-9999,-9999,8,0,0,283,194,194,53
GHCND:USC00112223,DE KALB IL US,20070727,-9999,-9999,89,0,0,272,189,211,45
GHCND:USC00112223,DE KALB IL US,20070728,-9999,-9999,135,0,0,283,189,194,80
GHCND:USC00112223,DE KALB IL US,20070729,-9999,-9999,0,0,0,267,167,172,63
GHCND:USC00112223,DE KALB IL US,20070730,-9999,-9999,0,0,0,289,167,183,40
GHCND:USC00112223,DE KALB IL US,20070731,-9999,-9999,0,0,0,289,183,211,29
GHCND:USC00112223,DE KALB IL US,20070801,-9999,-9999,0,0,0,311,200,206,29
GHCND:USC00112223,DE KALB IL US,20070802,-9999,-9999,0,0,0,311,206,217,21
GHCND:USC00112223,DE KALB IL US,20070803,-9999,-9999,0,0,0,317,178,183,53
GHCND:USC00112223,DE KALB IL US,20070804,-9999,-9999,0,0,0,306,183,200,26
GHCND:USC00112223,DE KALB IL US,20070805,-9999,-9999,114,0,0,250,189,194,45
GHCND:USC00112223,DE KALB IL US,20070806,-9999,-9999,28,0,0,306,194,222,48
GHCND:USC00112223,DE KALB IL US,20070807,-9999,-9999,384,0,0,311,211,222,50
GHCND:USC00112223,DE KALB IL US,20070808,-9999,-9999,51,0,0,322,217,222,61
GHCND:USC00112223,DE KALB IL US,20070809,-9999,-9999,69,0,0,300,206,211,47
GHCND:USC00112223,DE KALB IL US,20070810,-9999,-9999,0,0,0,289,200,206,55
GHCND:USC00112223,DE KALB IL US,20070811,-9999,-9999,0,0,0,300,200,217,39
GHCND:USC00112223,DE KALB IL US,20070812,-9999,-9999,36,0,0,300,183,194,51
GHCND:USC00112223,DE KALB IL US,20070813,-9999,-9999,0,0,0,300,189,206,51
GHCND:USC00112223,DE KALB IL US,20070814,-9999,-9999,145,0,0,278,178,178,61
GHCND:USC00112223,DE KALB IL US,20070815,-9999,-9999,18,0,0,289,178,217,63
GHCND:USC00112223,DE KALB IL US,20070816,-9999,-9999,10,0,0,261,194,194,45
GHCND:USC00112223,DE KALB IL US,20070817,-9999,-9999,0,0,0,239,161,172,34
GHCND:USC00112223,DE KALB IL US,20070818,-9999,-9999,0,0,0,244,156,161,39
GHCND:USC00112223,DE KALB IL US,20070819,-9999,-9999,97,0,0,189,139,167,74
GHCND:USC00112223,DE KALB IL US,20070820,-9999,-9999,434,0,0,206,167,200,48
GHCND:USC00112223,DE KALB IL US,20070821,-9999,-9999,13,0,0,250,200,206,31
GHCND:USC00112223,DE KALB IL US,20070822,-9999,-9999,20,0,0,294,200,200,50
GHCND:USC00112223,DE KALB IL US,20070823,-9999,-9999,384,0,0,317,200,206,69
GHCND:USC00112223,DE KALB IL US,20070824,-9999,-9999,1232,0,0,306,200,206,68
GHCND:USC00112223,DE KALB IL US,20070825,-9999,-9999,20,0,0,261,189,189,42
GHCND:USC00112223,DE KALB IL US,20070826,-9999,-9999,0,0,0,256,144,144,31
GHCND:USC00112223,DE KALB IL US,20070827,-9999,-9999,0,0,0,261,144,161,37
GHCND:USC00112223,DE KALB IL US,20070828,-9999,-9999,0,0,0,261,161,189,69
GHCND:USC00112223,DE KALB IL US,20070829,-9999,-9999,0,0,0,328,189,211,48
GHCND:USC00112223,DE KALB IL US,20070830,-9999,-9999,0,0,0,278,156,156,60
GHCND:USC00112223,DE KALB IL US,20070831,-9999,-9999,0,0,0,239,128,133,53
GHCND:USC00112223,DE KALB IL US,20070901,-9999,-9999,0,0,0,250,133,139,29
GHCND:USC00112223,DE KALB IL US,20070902,-9999,-9999,0,0,0,261,139,156,27
GHCND:USC00112223,DE KALB IL US,20070903,-9999,-9999,0,0,0,294,156,172,34
GHCND:USC00112223,DE KALB IL US,20070904,-9999,-9999,0,0,0,306,172,183,31
GHCND:USC00112223,DE KALB IL US,20070905,-9999,-9999,0,0,0,322,183,200,27
GHCND:USC00112223,DE KALB IL US,20070906,-9999,-9999,0,0,0,311,200,206,47
GHCND:USC00112223,DE KALB IL US,20070907,-9999,-9999,0,0,0,272,206,222,98
GHCND:USC00112223,DE KALB IL US,20070908,-9999,-9999,51,0,0,283,156,161,84
GHCND:USC00112223,DE KALB IL US,20070909,-9999,-9999,0,0,0,267,133,139,51
GHCND:USC00112223,DE KALB IL US,20070910,-9999,-9999,0,0,0,267,139,161,66
GHCND:USC00112223,DE KALB IL US,20070911,-9999,-9999,38,0,0,217,89,94,58
GHCND:USC00112223,DE KALB IL US,20070912,-9999,-9999,0,0,0,206,50,56,90
GHCND:USC00112223,DE KALB IL US,20070913,-9999,-9999,0,0,0,200,56,89,29
GHCND:USC00112223,DE KALB IL US,20070914,-9999,-9999,0,0,0,261,89,117,66
GHCND:USC00112223,DE KALB IL US,20070915,-9999,-9999,0,0,0,167,17,17,68
GHCND:USC00112223,DE KALB IL US,20070916,-9999,-9999,0,0,0,167,17,83,29
GHCND:USC00112223,DE KALB IL US,20070917,-9999,-9999,0,0,0,222,83,122,61
GHCND:USC00112223,DE KALB IL US,20070918,-9999,-9999,0,0,0,300,122,172,74
GHCND:USC00112223,DE KALB IL US,20070919,-9999,-9999,0,0,0,317,172,189,79
GHCND:USC00112223,DE KALB IL US,20070920,-9999,-9999,0,0,0,283,144,144,56
GHCND:USC00112223,DE KALB IL US,20070921,-9999,-9999,0,0,0,283,144,178,58
GHCND:USC00112223,DE KALB IL US,20070922,-9999,-9999,3,0,0,311,117,117,108
GHCND:USC00112223,DE KALB IL US,20070923,-9999,-9999,0,0,0,239,117,128,40
GHCND:USC00112223,DE KALB IL US,20070924,-9999,-9999,0,0,0,294,128,200,66
GHCND:USC00112223,DE KALB IL US,20070925,-9999,-9999,0,0,0,322,200,228,100
GHCND:USC00112223,DE KALB IL US,20070926,-9999,-9999,20,0,0,289,106,106,72
GHCND:USC00112223,DE KALB IL US,20070927,-9999,-9999,0,0,0,206,89,94,29
GHCND:USC00112223,DE KALB IL US,20070928,-9999,-9999,0,0,0,244,94,100,55
GHCND:USC00112223,DE KALB IL US,20070929,-9999,-9999,0,0,0,239,100,106,48
GHCND:USC00112223,DE KALB IL US,20070930,-9999,-9999,0,0,0,267,106,122,68
GHCND:USC00112223,DE KALB IL US,20071001,-9999,-9999,43,0,0,289,122,144,117
GHCND:USC00112223,DE KALB IL US,20071002,-9999,-9999,3,0,0,228,139,144,50
GHCND:USC00112223,DE KALB IL US,20071003,-9999,-9999,23,0,0,256,111,111,95
GHCND:USC00112223,DE KALB IL US,20071004,-9999,-9999,0,0,0,239,106,117,39
GHCND:USC00112223,DE KALB IL US,20071005,-9999,-9999,0,0,0,278,117,189,39
GHCND:USC00112223,DE KALB IL US,20071006,-9999,-9999,0,0,0,300,189,189,37
GHCND:USC00112223,DE KALB IL US,20071007,-9999,-9999,0,0,0,306,189,194,40
