STATION,STATION_NAME,DATE,MDPR,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070525,-9999,0,0,0,200,150,27,100,80,63,81,849
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070526,-9999,234,0,0,256,178,34,210,180,94,125,1602
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070527,-9999,97,0,0,244,178,20,170,120,58,72,1647
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070528,-9999,15,0,0,278,189,38,140,130,81,112,1817
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070529,-9999,36,0,0,283,200,42,140,150,94,130,1550
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070530,-9999,234,0,0,233,183,24,270,190,72,103,1024
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070531,-9999,0,0,0,267,156,-9999,130,110,63,76,1637
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070601,-9999,229,0,0,267,156,26,190,190,81,107,221
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070602,-9999,51,0,0,267,183,39,290,280,89,107,1707
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070603,-9999,0,0,0,267,156,40,320,330,76,107,950
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070604,-9999,0,0,0,289,172,33,360,320,81,112,1244
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070605,-9999,0,0,0,261,178,25,360,10,63,76,1216
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070606,-9999,0,0,0,306,178,77,190,170,161,201,1602
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070607,-9999,508,0,0,311,200,73,200,190,148,192,1201
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070608,-9999,0,0,0,239,139,24,310,300,81,116,6
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070609,-9999,0,0,0,278,139,18,120,100,54,63,2000
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070610,-9999,389,0,0,278,139,26,230,230,103,130,503
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070611,-9999,0,0,0,267,200,28,140,140,63,76,1758
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070612,-9999,0,0,0,283,200,33,150,130,72,94,1738
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070613,-9999,0,0,0,300,200,34,150,170,76,116,938
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070614,-9999,0,0,0,311,211,31,130,150,67,94,1256
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070615,-9999,0,0,0,322,211,26,190,190,76,94,1551
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070616,-9999,0,0,0,328,211,17,210,200,58,67,1622
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070617,-9999,0,0,0,311,228,52,190,200,98,125,2150
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070618,-9999,18,0,0,311,206,36,300,300,76,103,1646
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070619,-9999,0,0,0,300,194,30,60,80,72,89,925
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070620,-9999,0,0,0,300,222,31,200,170,63,81,1358
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070621,-9999,0,0,0,317,222,39,190,190,81,116,1445
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070622,-9999,0,0,0,317,194,44,10,40,98,116,2234
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070623,-9999,25,0,0,300,189,19,40,40,63,72,2242
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070624,-9999,0,0,0,317,200,27,110,80,54,81,1742
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070625,-9999,0,0,0,322,239,37,170,180,72,94,1408
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070626,-9999,0,0,0,311,233,35,200,160,103,139,1628
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070627,-9999,107,0,0,267,206,27,50,40,76,103,1930
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070628,76,94,0,0,222,183,35,30,40,72,94,736
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070629,-9999,76,0,0,206,183,42,80,80,72,98,1654
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070630,-9999,203,0,0,194,156,47,80,80,72,98,1322
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070701,-9999,0,0,0,256,189,44,80,70,81,103,1445
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070702,-9999,0,0,0,283,189,33,110,100,63,76,822
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070703,-9999,0,0,0,306,222,20,190,190,58,72,642
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070704,-9999,3,0,0,339,217,23,80,90,76,98,1612
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070705,-9999,0,0,0,339,206,19,20,30,67,94,1401
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070706,-9999,0,0,0,339,200,11,200,210,40,58,1442
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070707,-9999,0,0,0,333,244,36,190,190,76,103,1432
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070708,-9999,0,0,0,339,239,43,190,210,76,139,808
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070709,-9999,3,0,0,328,250,34,220,220,98,125,1457
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070710,-9999,0,0,0,317,217,34,330,350,76,107,1455
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070711,-9999,0,0,0,317,183,22,10,220,58,107,601
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070712,-9999,0,0,0,294,217,23,180,180,63,76,1519
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070713,-9999,0,0,0,294,200,25,40,70,67,94,1025
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070714,-9999,5,0,0,339,206,33,330,330,116,170,1921
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070715,-9999,0,0,0,333,217,21,140,140,54,67,2025
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070716,-9999,0,0,0,350,217,28,150,40,76,112,621
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070717,-9999,0,0,0,356,278,36,210,210,72,98,1752
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070718,-9999,0,0,0,356,267,60,190,220,107,134,1809
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070719,-9999,0,0,0,356,256,27,210,220,72,98,47
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070720,-9999,0,0,0,289,228,39,80,80,72,94,1409
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070721,-9999,0,0,0,289,206,40,100,80,72,94,1132
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070722,-9999,0,0,0,306,211,27,130,120,58,125,700
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070723,-9999,0,0,0,289,200,25,20,20,67,81,834
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070724,-9999,0,0,0,317,217,24,120,150,54,67,1506
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070725,-9999,0,0,0,317,233,30,210,180,58,76,1627
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070726,-9999,0,0,0,328,228,36,190,210,72,89,2315
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070727,-9999,3,0,0,350,250,38,230,230,76,103,212
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070728,-9999,0,0,0,350,244,26,50,350,72,103,724
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070729,-9999,0,0,0,283,228,27,50,50,58,67,1722
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070730,-9999,0,0,0,272,217,29,80,120,58,72,1243
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070731,-9999,0,0,0,306,217,28,110,100,63,161,830
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070801,-9999,0,0,0,333,239,16,100,180,45,98,835
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070802,-9999,0,0,0,322,233,13,40,50,81,98,1807
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070803,-9999,3,0,0,333,233,11,220,210,81,125,1609
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070804,-9999,0,0,0,344,250,49,200,210,98,139,1344
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070805,-9999,0,0,0,356,261,60,210,200,98,130,1025
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070806,-9999,0,0,0,367,278,52,190,200,94,125,1641
