STATION,STATION_NAME,DATE,MDPR,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080728,-9999,0,-9999,-9999,317,228,15,180,-9999,36,-9999,-9999,1201
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080729,-9999,64,-9999,-9999,311,222,15,230,240,89,107,1051,1044
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080730,-9999,5,-9999,-9999,289,233,22,220,230,67,107,2047,2047
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080731,-9999,46,-9999,-9999,300,228,32,250,250,80,103,1441,1443
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080801,-9999,0,-9999,-9999,306,239,29,260,260,98,134,1323,1323
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080802,-9999,8,-9999,-9999,289,228,24,190,190,72,94,1315,1316
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080803,-9999,0,-9999,-9999,328,217,15,270,240,45,63,1421,1502
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080804,-9999,0,-9999,-9999,333,217,14,150,150,54,67,2057,2059
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080805,-9999,0,-9999,-9999,339,206,12,130,150,45,58,1316,1255
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080806,-9999,0,-9999,-9999,344,217,17,250,240,58,67,1938,1939
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080807,-9999,0,-9999,-9999,350,244,32,250,200,72,98,1525,1754
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080808,-9999,109,-9999,-9999,311,228,34,250,260,143,183,1002,1003
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080809,-9999,0,-9999,-9999,344,222,17,110,360,67,80,1528,1733
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080810,-9999,0,-9999,-9999,333,194,20,260,260,58,72,1635,1635
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080811,-9999,0,-9999,-9999,328,206,30,270,270,72,94,1651,1629
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080812,-9999,368,-9999,-9999,278,217,26,270,270,103,134,1330,1331
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080813,-9999,130,-9999,-9999,317,217,39,250,250,116,161,1350,1414
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080814,-9999,58,-9999,-9999,278,222,34,240,250,89,116,1434,1444
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080815,-9999,0,-9999,-9999,311,228,24,200,190,76,103,1306,1307
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080816,-9999,8,-9999,-9999,289,217,9,260,260,54,63,822,813
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080817,-9999,8,-9999,-9999,311,211,7,180,170,45,58,1639,1641
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20080818,-9999,0,-9999,-9999,317,228,17,140,140,80,103,1604,1605
