STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00481840,CODY WY US,20070801,-9999,-9999,0,0,0,306,183,244
GHCND:USC00481840,CODY WY US,20070802,-9999,-9999,0,0,0,289,144,267
GHCND:USC00481840,CODY WY US,20070803,-9999,-9999,13,0,0,283,183,272
GHCND:USC00481840,CODY WY US,20070804,-9999,-9999,3,0,0,294,189,267
GHCND:USC00481840,CODY WY US,20070805,-9999,-9999,13,0,0,300,139,172
GHCND:USC00481840,CODY WY US,20070806,-9999,-9999,23,0,0,283,122,272
GHCND:USC00481840,CODY WY US,20070807,-9999,-9999,0,0,0,306,128,283
GHCND:USC00481840,CODY WY US,20070808,-9999,-9999,0,0,0,283,139,283
GHCND:USC00481840,CODY WY US,20070809,-9999,-9999,0,0,0,317,144,278
GHCND:USC00481840,CODY WY US,20070810,-9999,-9999,0,0,0,317,122,289
GHCND:USC00481840,CODY WY US,20070811,-9999,-9999,0,0,0,294,133,239
GHCND:USC00481840,CODY WY US,20070812,-9999,-9999,0,0,0,344,128,339
GHCND:USC00481840,CODY WY US,20070813,-9999,-9999,10,0,0,339,178,289
GHCND:USC00481840,CODY WY US,20070814,-9999,-9999,0,0,0,289,139,267
GHCND:USC00481840,CODY WY US,20070815,-9999,-9999,0,0,0,294,139,272
GHCND:USC00481840,CODY WY US,20070816,-9999,-9999,0,0,0,328,128,278
GHCND:USC00481840,CODY WY US,20070817,-9999,-9999,23,0,0,278,161,256
GHCND:USC00481840,CODY WY US,20070818,-9999,-9999,86,0,0,283,167,178
GHCND:USC00481840,CODY WY US,20070819,-9999,-9999,48,0,0,294,111,250
GHCND:USC00481840,CODY WY US,20070820,-9999,-9999,41,0,0,261,133,256
GHCND:USC00481840,CODY WY US,20070821,-9999,-9999,0,0,0,261,139,250
GHCND:USC00481840,CODY WY US,20070822,-9999,-9999,10,0,0,250,122,139
GHCND:USC00481840,CODY WY US,20070823,-9999,-9999,0,0,0,217,94,189
GHCND:USC00481840,CODY WY US,20070824,-9999,-9999,8,0,0,217,89,217
GHCND:USC00481840,CODY WY US,20070825,-9999,-9999,0,0,0,306,89,300
GHCND:USC00481840,CODY WY US,20070826,-9999,-9999,0,0,0,322,122,311
GHCND:USC00481840,CODY WY US,20070827,-9999,-9999,0,0,0,311,128,250
GHCND:USC00481840,CODY WY US,20070828,-9999,-9999,0,0,0,250,106,200
GHCND:USC00481840,CODY WY US,20070829,-9999,-9999,0,0,0,289,83,289
GHCND:USC00481840,CODY WY US,20070830,-9999,-9999,0,0,0,322,139,289
GHCND:USC00481840,CODY WY US,20070831,-9999,-9999,0,0,0,300,189,278
GHCND:USC00481840,CODY WY US,20070901,-9999,-9999,0,0,0,317,189,306
GHCND:USC00481840,CODY WY US,20070902,-9999,-9999,0,0,0,328,133,300
GHCND:USC00481840,CODY WY US,20070903,-9999,-9999,0,0,0,322,211,311
GHCND:USC00481840,CODY WY US,20070904,-9999,-9999,0,0,0,328,150,306
GHCND:USC00481840,CODY WY US,20070905,-9999,-9999,5,0,0,306,133,211
GHCND:USC00481840,CODY WY US,20070906,-9999,-9999,38,0,0,211,117,200
GHCND:USC00481840,CODY WY US,20070907,-9999,-9999,0,0,0,256,83,250
GHCND:USC00481840,CODY WY US,20070908,-9999,-9999,3,0,0,250,61,89
