STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070519,-9999,0,0,228,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070520,-9999,0,0,228,50
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070521,-9999,0,0,222,50
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070522,-9999,0,0,189,61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070523,-9999,-9999,-9999,111,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070524,-9999,0,0,-9999,-22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070525,-9999,0,0,172,11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070526,-9999,0,0,211,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070527,-9999,0,0,222,28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070528,-9999,0,0,239,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070529,-9999,0,0,239,111
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070530,-9999,0,0,161,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070531,-9999,0,0,189,11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070601,-9999,0,0,222,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070602,-9999,0,0,200,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070603,-9999,0,0,250,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070604,-9999,0,0,222,61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070605,-9999,0,0,239,61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070606,-9999,0,0,272,161
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070607,-9999,0,0,-9999,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070608,-9999,0,0,122,-22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070609,-9999,0,0,228,28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070610,-9999,0,0,272,28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070611,-9999,0,0,261,61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070612,-9999,0,0,272,111
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070613,-9999,0,0,200,61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070614,-9999,0,0,239,50
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070615,0,0,0,278,72
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070616,0,0,0,300,78
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070617,-9999,0,0,339,111
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070618,-9999,0,0,300,89
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070619,0,0,0,-9999,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070620,0,0,0,289,67
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070621,0,0,0,322,72
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070622,-9999,0,0,300,111
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070623,0,0,0,-9999,-9999
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070624,0,0,0,322,-9999
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070625,0,0,0,300,78
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070626,0,0,0,300,89
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070627,0,0,0,322,111
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070628,0,0,0,311,111
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070629,0,0,0,311,100
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070630,0,0,0,322,100
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070701,0,0,0,322,78
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070702,0,0,0,328,89
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070703,0,0,0,339,100
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070704,-9999,0,0,339,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070705,-9999,0,0,322,122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070706,-9999,0,0,289,111
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070707,-9999,0,0,311,122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070708,-9999,0,0,278,111
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070709,-9999,0,0,278,100
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070710,-9999,0,0,322,122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070711,-9999,0,0,311,100
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070712,-9999,0,0,311,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070713,-9999,0,0,272,100
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070714,-9999,0,0,278,122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070715,-9999,0,0,300,89
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070716,-9999,0,0,322,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070717,-9999,0,0,322,139
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070718,-9999,0,0,322,111
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070719,-9999,0,0,300,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070720,-9999,0,0,311,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070721,-9999,0,0,261,150
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070722,-9999,0,0,289,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070723,-9999,0,0,322,122
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070724,-9999,0,0,322,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070725,-9999,0,0,289,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070726,-9999,0,0,311,139
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070727,-9999,0,0,278,161
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070728,-9999,0,0,272,128
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070729,-9999,0,0,261,111
