STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TOBS
GHCND:USC00210643,BEMIDJI MN US,20080723,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080724,-9999,-9999,8,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080725,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080726,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080727,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080728,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080730,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080731,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080801,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080802,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080803,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080805,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080806,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080808,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080809,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080810,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080811,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080815,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080816,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080817,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080818,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080819,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080820,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080821,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080822,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080823,-9999,-9999,15,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080825,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080826,-9999,-9999,0,-9999,-9999,-9999,-9999
