Origin,Dest,IsDelayed
CLE,IAD,582
CLE,IAH,502
CLE,IND,213
CLE,JAX,26
CLE,JFK,509
CLE,LAS,478
CLE,LAX,373
CLE,LEX,80
CLE,LGA,1433
CLE,MCI,369
CLE,MCO,340
CLE,MDT,74
CLE,MDW,1090
CLE,MEM,238
CLE,MHT,244
CLE,MIA,122
CLE,MKE,443
CLE,MSN,150
CLE,MSP,765
CLE,MSY,56
CLE,OKC,46
CLE,ORD,2394
CLE,ORF,109
CLE,PBI,65
CLE,PHL,372
CLE,PHX,337
CLE,PVD,131
CLE,PWM,35
CLE,RDU,251
CLE,RIC,229
CLE,ROC,264
CLE,RSW,111
CLE,SAN,55
CLE,SAT,115
CLE,SDF,197
CLE,SEA,74
CLE,SFO,137
CLE,SJU,9
CLE,SLC,85
CLE,SRQ,39
CLE,STL,429
CLE,SYR,208
CLE,TPA,160
CLE,TYS,126
CLL,DFW,323
CLL,IAH,41
CLT,ABE,115
CLT,AGS,11
CLT,ALB,355
CLT,ATL,1678
CLT,BDL,732
CLT,BHM,175
CLT,BNA,630
CLT,BOS,1431
CLT,BUF,594
CLT,BWI,1460
CLT,CHS,619
CLT,CLE,504
CLT,CMH,300
CLT,CVG,264
CLT,DCA,1122
CLT,DEN,822
CLT,DFW,1165
CLT,DTW,1116
CLT,EGE,7
CLT,EWR,2450
CLT,FLL,1233
CLT,GRR,0
CLT,GSO,320
CLT,IAD,1002
CLT,IAH,1087
CLT,ILM,617
CLT,IND,495
CLT,JAX,990
CLT,JFK,976
CLT,LAS,860
CLT,LAX,581
CLT,LGA,2919
CLT,LIT,10
CLT,MCI,360
CLT,MCO,1646
CLT,MDT,318
CLT,MDW,178
CLT,MEM,536
CLT,MHT,300
CLT,MIA,1532
CLT,MKE,51
CLT,MSP,644
CLT,MSY,508
CLT,MYR,867
CLT,ORD,2458
CLT,ORF,652
CLT,PBI,793
CLT,PDX,36
CLT,PHL,1535
CLT,PHX,1041
CLT,PIT,952
CLT,PNS,250
CLT,PVD,696
CLT,PWM,147
CLT,RDU,926
CLT,RIC,602
CLT,ROC,188
CLT,RSW,741
CLT,SAN,238
CLT,SAV,505
CLT,SDF,12
CLT,SEA,198
CLT,SFO,544
CLT,SJU,376
CLT,SLC,115
CLT,SRQ,226
CLT,STL,390
CLT,STT,187
CLT,STX,11
CLT,SYR,358
CLT,TLH,5
CLT,TPA,1183
CLT,TRI,3
CMH,ATL,258
CMH,BNA,161
CMH,BOS,305
CMH,BWI,348
CMH,CLE,127
CMH,CLT,282
CMH,CVG,277
CMH,DCA,125
CMH,DEN,129
CMH,DFW,449
CMH,DTW,574
CMH,EWR,752
CMH,FLL,3
CMH,IAH,188
CMH,JFK,758
CMH,LAS,293
CMH,LAX,96
CMH,LGA,1149
CMH,MCI,148
CMH,MCO,217
CMH,MDW,661
CMH,MEM,214
CMH,MIA,155
CMH,MKE,198
CMH,MSN,0
CMH,MSP,312
CMH,ORD,1829
CMH,PHL,361
CMH,PHX,250
CMH,RDU,135
CMH,RSW,101
CMH,SLC,36
CMH,STL,139
CMH,TPA,158
CMI,DFW,74
CMI,ORD,692
CMX,MSP,42
COD,DEN,64
COD,SLC,191
COS,ABQ,0
COS,ATL,164
COS,BHM,0
COS,CVG,156
COS,DEN,1057
COS,DFW,562
COS,GRB,0
COS,IAH,300
COS,LAS,44
COS,LAX,325
COS,MCI,65
COS,MKE,0
COS,MSP,184
COS,MTJ,0
COS,ONT,115
COS,ORD,463
COS,PHX,377
COS,RFD,0
COS,SAN,99
COS,SFO,88
COS,SLC,303
COS,SMF,146
COS,TUL,0
CPR,DEN,425
CPR,MSP,92
CPR,SLC,284
CRP,ATL,219
CRP,AUS,28
CRP,DFW,649
CRP,HOU,423
CRP,IAH,292
CRW,ATL,591
CRW,CVG,160
CRW,DAY,0
CRW,IAH,135
CRW,ORD,192
CRW,RDU,1
CRW,ROA,1
CRW,SPI,0
CSG,ATL,500
CVG,ABE,236
CVG,ABQ,105
CVG,ALB,302
CVG,ANC,22
CVG,ATL,750
CVG,ATW,213
CVG,AUS,351
CVG,AVL,29
CVG,AVP,263
CVG,AZO,88
CVG,BDL,368
CVG,BGR,237
CVG,BHM,290
CVG,BNA,343
CVG,BOS,510
CVG,BTR,136
CVG,BTV,142
CVG,BUF,160
CVG,BWI,483
CVG,CAE,335
CVG,CAK,207
CVG,CHA,152
CVG,CHO,93
CVG,CHS,245
CVG,CID,228
CVG,CLE,182
CVG,CLT,312
CVG,CMH,273
CVG,COS,127
CVG,CRW,198
CVG,DAY,350
CVG,DCA,450
CVG,DEN,595
CVG,DFW,1196
CVG,DSM,346
CVG,DTW,999
CVG,EGE,5
CVG,EWR,1382
CVG,FLL,176
CVG,FSD,195
CVG,GRB,154
CVG,GRR,356
CVG,GSO,379
CVG,GSP,187
CVG,HNL,23
CVG,HPN,308
CVG,HSV,230
CVG,HTS,40
CVG,IAD,306
CVG,IAH,765
CVG,ILM,26
CVG,IND,40
CVG,JAC,4
CVG,JAN,202
CVG,JAX,438
CVG,JFK,714
CVG,LAN,160
CVG,LAS,262
CVG,LAX,443
CVG,LEX,424
CVG,LGA,1401
CVG,LIT,11
CVG,MCI,524
CVG,MCO,299
CVG,MDT,274
CVG,MEM,306
CVG,MGM,47
CVG,MHT,365
CVG,MIA,257
CVG,MKE,368
CVG,MLB,2
CVG,MSN,105
CVG,MSP,968
CVG,MSY,44
CVG,MYR,78
CVG,OKC,315
CVG,OMA,300
CVG,ORD,2088
CVG,ORF,186
CVG,PBI,245
CVG,PDX,153
CVG,PFN,9
CVG,PHL,711
CVG,PHX,152
CVG,PIT,453
CVG,PVD,335
CVG,PWM,179
CVG,RDU,425
CVG,RIC,189
CVG,ROA,106
CVG,ROC,311
CVG,RSW,192
CVG,SAN,125
CVG,SAT,416
CVG,SAV,245
CVG,SBN,18
CVG,SCE,25
CVG,SDF,116
CVG,SEA,340
CVG,SFO,285
CVG,SGF,152
CVG,SHV,35
CVG,SJU,6
CVG,SLC,358
CVG,SMF,1
CVG,SNA,67
CVG,SRQ,145
CVG,STL,232
CVG,SYR,291
CVG,TPA,281
CVG,TRI,2
CVG,TUL,292
CVG,TVC,40
CVG,TYS,328
CVG,VPS,3
CWA,DTW,118
CWA,MSP,27
CWA,ORD,249
DAB,ATL,605
DAB,BWI,8
DAB,CLE,2
DAB,EWR,225
DAB,IAD,27
DAB,LGA,7
DAB,ORD,7
DAL,ABQ,838
DAL,AMA,933
DAL,AUS,1748
DAL,BHM,134
DAL,ELP,743
DAL,HOU,3103
DAL,IAH,1066
DAL,LBB,901
DAL,LIT,827
DAL,MAF,780
DAL,MCI,1078
DAL,MSY,528
DAL,OKC,621
DAL,SAT,1776
DAL,STL,874
DAL,TUL,688
DAY,ATL,875
DAY,BOS,31
DAY,BWI,194
DAY,CLE,155
DAY,CVG,230
DAY,DEN,119
DAY,DFW,242
DAY,DTW,237
DAY,EWR,240
DAY,IAH,189
DAY,LAS,2
DAY,MCO,37
DAY,MSP,251
DAY,ORD,733
DAY,TPA,49
DBQ,ORD,376
DCA,ALB,160
DCA,ATL,1390
DCA,BDL,413
DCA,BNA,342
DCA,BOS,2992
DCA,BTR,79
DCA,BUF,284
DCA,CLE,334
DCA,CLT,1130
DCA,CMH,41
DCA,CVG,241
DCA,DEN,336
DCA,DFW,1164
DCA,DSM,61
DCA,DTW,634
